full_entree,radical,prefixe,suffixe,type,forme,nb_variants,variants,categorie,nb_trads_fr,trads_fr,nb_trads_en,trads_en,nb_ex_fr,ex_fr,nb_ex_en,ex_en,audio,class_info,nb_conjugaisons,conjugaisons,dictionnaire
addaaje,addaa,,je,FUL,simple,1,,Nom,1,machette,0,,0,,0,,non,non,0,,fulfulde-français
addaahi,addaa,,hi,FUL,simple,1,,Nom,1,machette,0,,0,,0,,non,non,0,,fulfulde-français
addirgol,addir,,gol,FUL,simple,1,,Verbe,2,amener (occasionellent@@@d’une certaine manière),0,,0,,0,,non,non,0,,fulfulde-français
addiraaɓe,addiraa,,ɓe,FUL,simple,1,,Nom,1,garnd sœurs,0,,0,,0,,non,non,0,,fulfulde-français
addiraawo,addiraa,,wo,FUL,simple,1,,Nom,1,grand sœur,0,,0,,0,,non,non,0,,fulfulde-français
addol,addol,,,FUL,simple,1,,Nom,1,évacuation,0,,0,,0,,non,non,0,,fulfulde-français
addugol,addu,,gol,FUL,simple,1,,Verbe,1,amener,0,,0,,0,,non,non,0,,fulfulde-français
adgo,adgo,,,FUL,simple,1,,Verbe,1,emporter,0,,0,,0,,non,non,0,,fulfulde-français
adiligo,adili,,go,FUL,simple,1,,Verbe,1,etre justifié,0,,0,,0,,non,non,0,,fulfulde-français
adiligo,adili,,go,FUL,simple,1,,Adjectif,1,juste,0,,0,,0,,non,non,0,,fulfulde-français
adiliingo,adilii,,ngo,FUL,simple,1,,Verbe,1,justifier,0,,0,,0,,non,non,0,,fulfulde-français
adugo,adu,,go,FUL,simple,1,,Verbe,1,ramasser,0,,0,,0,,non,non,0,,fulfulde-français
afaaɓe,afaa,,ɓe,FUL,simple,1,,Nom,1,premier né,0,,0,,0,,non,non,0,,fulfulde-français
afɓe,afɓe,,,FUL,simple,1,,Nom,1,premier né,0,,0,,0,,non,non,0,,fulfulde-français
afoo,afoo,,,FUL,simple,1,,Nom,1,premier né,0,,0,,0,,non,non,0,,fulfulde-français
afotooɗo,afotoo,,ɗo,FUL,simple,1,,Verbe,1,femme qui va accoucher pour la premiere fois,0,,0,,0,,non,non,0,,fulfulde-français
afotooɓe,afotoo,,ɓe,FUL,simple,1,,Verbe,1,femme qui va accoucher pour la premiere fois,0,,0,,0,,non,non,0,,fulfulde-français
afun,afun,,,FUL,simple,1,,Verbe,1,ce qui appatient à l'ainé,0,,0,,0,,non,non,0,,fulfulde-français
agooje,agoo,,je,FUL,simple,1,,Nom,1,petites cuvettes de fer-blanc,0,,0,,0,,non,non,0,,fulfulde-français
agoodaa,agoo,,daa,FUL,simple,1,,Nom,1,petite cuvette de fer-blanc,0,,0,,0,,non,non,0,,fulfulde-français
agugumji,agugum,,ji,FUL,simple,1,,Proposition,1,coq,0,,0,,0,,non,non,0,,fulfulde-français
agugumri,agugum,,ri,FUL,simple,1,,Proposition,1,coq,0,,0,,0,,non,non,0,,fulfulde-français
agugumje,agugum,,je,FUL,simple,1,,Proposition,1,coq,0,,0,,0,,non,non,0,,fulfulde-français
agugumwal,agugum,,wal,FUL,simple,1,,Proposition,1,coq,0,,0,,0,,non,non,0,,fulfulde-français
agugumwal,agugum,,wal,FUL,simple,1,,Proposition,1,coq,0,,0,,0,,non,non,0,,fulfulde-français
agugumwal,agugum,,wal,FUL,simple,1,,Proposition,1,coq,0,,0,,0,,non,non,0,,fulfulde-français
ajagamaari,ajagamaa,,ri,FUL,simple,1,,Verbe,1,sorgho repiqué,0,,0,,0,,non,non,0,,fulfulde-français
aju/'jo,aju,,/'jo,FUL,simple,1,,Nom,1,adjoint,0,,0,,0,,non,non,0,,fulfulde-français
ajuweŋ,aju,,weŋ,FUL,simple,1,,Nom,1,adjoint,0,,0,,0,,non,non,0,,fulfulde-français
aju/'en,aju,,/'en,FUL,simple,1,,Nom,1,adjoints,0,,0,,0,,non,non,0,,fulfulde-français
akaaen,akaa,,en,FUL,simple,1,,Ponctuation,1,secrétaires (hommes),0,,0,,0,,non,non,0,,fulfulde-français
akaawu,akaa,,wu,FUL,simple,1,,Ponctuation,1,secrétaire (homme),0,,0,,0,,non,non,0,,fulfulde-français
akootiiji,akootii,,ji,FUL,simple,1,,Nom,1,valise,0,,0,,0,,non,non,0,,fulfulde-français
akootiiru,akootii,,ru,FUL,simple,1,,Nom,1,valise,0,,0,,0,,non,non,0,,fulfulde-français
akoryel,akor,,yel,FUL,simple,1,,Verbe,1,piège à souris,0,,0,,0,,non,non,0,,fulfulde-français
akorhon,akor,,hon,FUL,simple,1,,Verbe,1,piège à souris,0,,0,,0,,non,non,0,,fulfulde-français
aksiji,aksi,,ji,FUL,simple,1,,Nom,1,accident de circulation,0,,0,,0,,non,non,0,,fulfulde-français
aksidaŋ,aksi,,daŋ,FUL,simple,1,,Nom,1,accident de circulation,0,,0,,0,,non,non,0,,fulfulde-français
ɲalaɗe,ɲala,,ɗe,FUL,simple,1,,Nom,1,jour,0,,0,,0,,non,non,0,,fulfulde-français
ɲalahol,ɲala,,hol,FUL,simple,1,,Nom,1,le veau,0,,0,,0,,non,non,0,,fulfulde-français
alaama,alaa,,ma,FUL,simple,1,,Nom,1,signe,0,,0,,0,,non,non,0,,fulfulde-français
alaaji,alaa,,ji,FUL,simple,1,,Nom,1,signe,0,,0,,0,,non,non,0,,fulfulde-français
al'aaji,al'aa,,ji,FUL,simple,1,,Nom,1,tradition,0,,0,,0,,non,non,0,,fulfulde-français
al'aadaa,al'aa,,daa,FUL,simple,1,,Nom,1,coutume,0,,0,,0,,non,non,0,,fulfulde-français
alakardiyoŋhi,alakardiyoŋ,,hi,FUL,simple,1,,Nom,1,anacardier,0,,0,,0,,non,non,0,,fulfulde-français
alakardiyoŋje,alakardiyoŋ,,je,FUL,simple,1,,Nom,1,anacardiers,0,,0,,0,,non,non,0,,fulfulde-français
alarba,alar,,ba,FUL,simple,1,,Nom,1,mercredi,0,,0,,0,,non,non,0,,fulfulde-français
alat,alat,,,FUL,simple,1,,Nom,1,dimanche,0,,0,,0,,non,non,0,,fulfulde-français
albacce,albac,,ce,FUL,simple,1,,Nom,1,ails,0,,0,,0,,non,non,0,,fulfulde-français
albalaawol,albalaa,,wol,FUL,simple,1,,Nom,1,calamité,0,,0,,0,,non,non,0,,fulfulde-français
albalaaji,albalaa,,ji,FUL,simple,1,,Nom,1,calamité,0,,0,,0,,non,non,0,,fulfulde-français
albasarre,albasar,,re,FUL,simple,1,,Proposition,1,ail,0,,0,,0,,non,non,0,,fulfulde-français
alerzi,aler,,zi,FUL,simple,1,,Nom,1,allergie,0,,0,,0,,non,non,0,,fulfulde-français
alhamiisa,alhamii,,sa,FUL,simple,1,,Nom,1,jeudi,0,,0,,0,,non,non,0,,fulfulde-français
alkamaari,alkamaa,,ri,FUL,simple,1,,Proposition,1,blé,0,,0,,0,,non,non,0,,fulfulde-français
alkamaaje,alkamaa,,je,FUL,simple,1,,Nom,1,blés,0,,0,,0,,non,non,0,,fulfulde-français
alkawwal,alkaw,,wal,FUL,simple,1,,Nom,1,confiance,0,,0,,0,,non,non,0,,fulfulde-français
allah,allah,,,FUL,simple,1,,Proposition,1,Dieu,0,,0,,0,,non,non,0,,fulfulde-français
alluje,allu,,je,FUL,simple,1,,Nom,1,tablette coranique,0,,0,,0,,non,non,0,,fulfulde-français
alluha,allu,,ha,FUL,simple,1,,Nom,1,tablette coranique,0,,0,,0,,non,non,0,,fulfulde-français
almaamiyaagal,almaamiyaa,,gal,FUL,simple,1,,Nom,1,metier d’imam,0,,0,,0,,non,non,0,,fulfulde-français
almeji,alme,,ji,FUL,simple,1,,Verbe,1,boisson pimentée à la citronnelle et au gingembre,0,,0,,0,,non,non,0,,fulfulde-français
alme,alme,,,FUL,simple,1,,Verbe,1,boisson pimentée à la citronnelle et au gingembre,0,,0,,0,,non,non,0,,fulfulde-français
alooru,aloo,,ru,FUL,simple,1,,Verbe,1,pique-boeuf à bec jaune,0,,0,,0,,non,non,0,,fulfulde-français
alooji,aloo,,ji,FUL,simple,1,,Verbe,1,piques-boeuf à bec jaune,0,,0,,0,,non,non,0,,fulfulde-français
alsasje,alsas,,je,FUL,simple,1,,Ponctuation,2,cartouche@@@balle,0,,0,,0,,non,non,0,,fulfulde-français
altine,alti,,ne,FUL,simple,1,,Nom,1,lundi,0,,0,,0,,non,non,0,,fulfulde-français
amaana,amaa,,na,FUL,simple,1,,Nom,1,confiance,0,,0,,0,,non,non,0,,fulfulde-français
amaaji,amaa,,ji,FUL,simple,1,,Nom,1,confiance,0,,0,,0,,non,non,0,,fulfulde-français
amaaji,amaa,,ji,FUL,simple,1,,Nom,1,confiance,0,,0,,0,,non,non,0,,fulfulde-français
ǎ,ǎ,,,,simple,1,,Verbe,1,être,0,,0,,0,,non,non,0,,medʉmba-francais
ba,ba,,,,simple,1,,Nom,1,biclyclette,0,,0,,0,,non,non,0,,medʉmba-francais
bág,bág,,,,simple,1,,Nom,1,devinette,0,,0,,0,,non,non,0,,medʉmba-francais
bàkə̀lɔ̀,bàkə̀lɔ̀,,,,simple,1,,Nom,1,banane,0,,0,,0,,non,non,0,,medʉmba-francais
bam,bam,,,,simple,1,,Nom,1,ventre,0,,0,,0,,non,non,0,,medʉmba-francais
bambwogo,bambwogo,,,,simple,1,,Nom,1,motocyclette,0,,0,,0,,non,non,0,,medʉmba-francais
bànbà,bànbà,,,,simple,1,,Verbe,1,envouloir,0,,0,,0,,non,non,0,,medʉmba-francais
bǎnbán,bǎnbán,,,,simple,1,,Adjectif,1,zéro,0,,0,,0,,non,non,0,,medʉmba-francais
bəbwə,bəbwə,,,,simple,1,,Verbe,1,naître,0,,0,,0,,non,non,0,,medʉmba-francais
bə̀ntʉ,bə̀ntʉ,,,,simple,1,,Nom,2,gens@@@personne,0,,0,,0,,non,non,0,,medʉmba-francais
bəýu,bəýu,,,,simple,1,,Verbe,1,appartenir,0,,0,,0,,non,non,0,,medʉmba-francais
bgue'mbwoge,bgue'mbwoge,,,,simple,1,,Nom,1,charbon,0,,0,,0,,non,non,0,,medʉmba-francais
bià,bià,,,,simple,1,,Nom,1,avocat,0,,0,,0,,non,non,0,,medʉmba-francais
bʉnnà',bʉnnà',,,,simple,1,,Nom,1,le lait,0,,0,,0,,non,non,0,,medʉmba-francais
bɔ,bɔ,,,,simple,1,,Nom,1,maison,0,,0,,0,,non,non,0,,medʉmba-francais
bon,bon,,,,simple,1,,Nom,1,enfants,0,,0,,0,,non,non,0,,medʉmba-francais
bùbù,bùbù,,,,simple,1,,Nom,1,pastèque,0,,0,,0,,non,non,0,,medʉmba-francais
bǔlɛnə,bǔlɛnə,,,,simple,1,,Nom,1,melon,0,,0,,0,,non,non,0,,medʉmba-francais
bǔlɛ̂nntsə,bǔlɛ̂nntsə,,,,simple,1,,Nom,1,melon,0,,0,,0,,non,non,0,,medʉmba-francais
bùma,bùma,,,,simple,1,,Nom,1,orange,0,,0,,0,,non,non,0,,medʉmba-francais
bù'nìbagnago,bù'nìbagnago,,,,simple,1,,Nom,1,lézard,0,,0,,0,,non,non,0,,medʉmba-francais
bunum,bunum,,,,simple,1,,Nom,1,bénir,0,,0,,0,,non,non,0,,medʉmba-francais
busí,busí,,,,simple,1,,Nom,1,chat,0,,0,,0,,non,non,0,,medʉmba-francais
bwə̀,bwə̀,,,,simple,1,,Verbe,1,montrer,0,,0,,0,,non,non,0,,medʉmba-francais
bwəam,bwəam,,,,simple,1,,Verbe,1,Accoucher,0,,0,,0,,non,non,0,,medʉmba-francais
bwôntu,bwôntu,,,,simple,1,,Adjectif,1,bon,0,,1,tsùb àm num bwôntu o' <--> Tu as pris ma main par ton bon cœur,0,,non,non,0,,medʉmba-francais
cʉ̂,cʉ̂,,,,simple,1,,Nom,1,Arbre,0,,0,,0,,non,non,0,,medʉmba-francais
caŋ,caŋ,,,,simple,1,,Nom,1,Nourrriture,0,,0,,0,,non,non,0,,medʉmba-francais
cà'tə,cà'tə,,,,simple,1,,Verbe,1,saluer,0,,0,,0,,non,non,0,,medʉmba-francais
cà'tə̌,cà'tə̌,,,,simple,1,,Verbe,1,saluer,0,,0,,0,,non,non,0,,medʉmba-francais
cə',cə',,,,simple,1,,Nom,1,chapeau,0,,0,,0,,non,non,0,,medʉmba-francais
cə̌dkù,cə̌dkù,,,,simple,1,,Nom,1,souris,0,,0,,0,,non,non,0,,medʉmba-francais
cɔ̌,cɔ̌,,,,simple,1,,Nom,1,histoire,0,,0,,0,,non,non,0,,medʉmba-francais
cɔ̀,cɔ̀,,,,simple,1,,Nom,1,voleur,0,,0,,0,,non,non,0,,medʉmba-francais
còm,còm,,,,simple,1,,Nom,1,prune,0,,0,,0,,non,non,0,,medʉmba-francais
cɔ̂ŋ,cɔ̂ŋ,,,,simple,1,,Nom,1,Oreille,0,,0,,0,,non,non,0,,medʉmba-francais
cò'o,cò'o,,,,simple,1,,Verbe,1,ouvrir,0,,0,,0,,non,non,0,,medʉmba-francais
cû,cû,,,,simple,1,,Adverbe,1,en haut,0,,0,,0,,non,non,0,,medʉmba-francais
cwɛ̌d,cwɛ̌d,,,,simple,1,,Verbe,1,téter,0,,0,,0,,non,non,0,,medʉmba-francais
fá,fá,,,,simple,1,,Verbe,1,Donner,0,,0,,0,,non,non,0,,medʉmba-francais
fàm,fàm,,,,simple,1,,Nom,1,problème,0,,0,,0,,non,non,0,,medʉmba-francais
fà'sàm,fà'sàm,,,,simple,1,,Nom,1,oeuvre,0,,1,me lo' fàn ntùm fà'sàm <--> Bénis mon oeuvre,0,,non,non,0,,medʉmba-francais
fə,fə,,,,simple,1,,Nom,1,plume,0,,0,,0,,non,non,0,,medʉmba-francais
fɛd,fɛd,,,,simple,1,,Verbe,1,manger,0,,0,,0,,non,non,0,,medʉmba-francais
fə́mɛ̌n,fə́mɛ̌n,,,,simple,1,,Nom,1,cadavre,0,,0,,0,,non,non,0,,medʉmba-francais
fə'vu,fə'vu,,,,simple,1,,Nom,1,enceinte,0,,0,,0,,non,non,0,,medʉmba-francais
fí,fí,,,,simple,1,,Nom,1,froid,0,,0,,0,,non,non,0,,medʉmba-francais
mfʉ̀nndá,fʉ̀nndá,m,,,simple,1,,Nom,1,cadenas,0,,0,,0,,non,non,0,,medʉmba-francais
fu,fu,,,,simple,1,,Nom,1,feuille,0,,0,,0,,non,non,0,,medʉmba-francais
ghʉ̌,ghʉ̌,,,,simple,1,,Verbe,1,avoir,0,,0,,0,,non,non,0,,medʉmba-francais
jʉ,jʉ,,,,simple,1,,Verbe,1,manger,0,,0,,0,,non,non,0,,medʉmba-francais
jʉ̀,jʉ̀,,,,simple,1,,Verbe,1,manger,0,,0,,0,,non,non,0,,medʉmba-francais
jû',jû',,,,simple,1,,Verbe,1,écouter,0,,0,,0,,non,non,0,,medʉmba-francais
ju'à,ju'à,,,,simple,1,,Verbe,1,entendre,0,,0,,0,,non,non,0,,medʉmba-francais
jûsa,jûsa,,,,simple,1,,Nom,1,instrument,0,,0,,0,,non,non,0,,medʉmba-francais
kab,kab,,,,simple,1,,Nom,1,canari,0,,0,,0,,non,non,0,,medʉmba-francais
kamànyam,kamànyam,,,,simple,1,,Nom,1,paradis,0,,1,mfe ntùm ngô kamàyam <--> Pour les amener au paradis.,0,,non,non,0,,medʉmba-francais
kǎmncob,kǎmncob,,,,simple,1,,Nom,1,expression,0,,0,,0,,non,non,0,,medʉmba-francais
kə̀bwɔ,kə̀bwɔ,,,,simple,1,,Adjectif,1,mauvais,0,,0,,0,,non,non,0,,medʉmba-francais
kecu,kecu,,,,simple,1,,Nom,1,cérise,0,,0,,0,,non,non,0,,medʉmba-francais
kəkwɛnə,kəkwɛnə,,,,simple,1,,Nom,1,l' âne,0,,0,,0,,non,non,0,,medʉmba-francais
kə̀lɔ̌,kə̀lɔ̌,,,,simple,1,,Nom,1,plantains,0,,0,,0,,non,non,0,,medʉmba-francais
nkə̀toó,kə̀toó,n,,,simple,1,,Nom,1,Chaussure,0,,0,,0,,non,non,0,,medʉmba-francais
nkə̀toó,kə̀toó,n,,,simple,1,,Nom,1,Chaussure,0,,0,,0,,non,non,0,,medʉmba-francais
nkə̀toó,kə̀toó,n,,,simple,1,,Nom,1,Chaussure,0,,0,,0,,non,non,0,,medʉmba-francais
kòŋbàm,kòŋbàm,,,,simple,1,,Nom,1,diahrée,0,,0,,0,,non,non,0,,medʉmba-francais
ko'ó,ko'ó,,,,simple,1,,Verbe,1,monter,0,,0,,0,,non,non,0,,medʉmba-francais
nkù,kù,n,,,simple,1,,Nom,1,pieds,0,,0,,0,,non,non,0,,medʉmba-francais
kwà'a,kwà'a,,,,simple,1,,Verbe,1,pleurer,0,,0,,0,,non,non,0,,medʉmba-francais
kwàtə,kwàtə,,,,simple,1,,Verbe,1,penser,0,,0,,0,,non,non,0,,medʉmba-francais
kwì,kwì,,,,simple,1,,Nom,1,chant,0,,0,,0,,non,non,0,,medʉmba-francais
kwǐbʉ'n'gɔ,kwǐbʉ'n'gɔ,,,,simple,1,,Nom,1,hymne nationale,0,,0,,0,,non,non,0,,medʉmba-francais
la',la',,,,simple,1,,Nom,1,village,0,,0,,0,,non,non,0,,medʉmba-francais
là,là,,,,simple,1,,Nom,1,ananas,0,,0,,0,,non,non,0,,medʉmba-francais
lamasì,lamasì,,,,simple,1,,Nom,1,citron,0,,0,,0,,non,non,0,,medʉmba-francais
làmtə́ncobə,làmtə́ncobə,,,,simple,1,,Nom,1,élocution,0,,0,,0,,non,non,0,,medʉmba-francais
làntsəbà,làntsəbà,,,,simple,1,,Nom,1,bateau,0,,0,,0,,non,non,0,,medʉmba-francais
lə̀d,lə̀d,,,,simple,1,,Nom,1,le verre,0,,0,,0,,non,non,0,,medʉmba-francais
lɛn,lɛn,,,,simple,1,,Nom,1,nom,0,,0,,0,,non,non,0,,medʉmba-francais
li',li',,,,simple,1,,Nom,1,journée,0,,0,,0,,non,non,0,,medʉmba-francais
li'nzhu,li'nzhu,,,,simple,1,,Nom,1,jour de la semaine,0,,0,,0,,non,non,0,,medʉmba-francais
lʉm,lʉm,,,,simple,1,,Nom,1,sang,0,,0,,0,,non,non,0,,medʉmba-francais
lǒ,lǒ,,,,simple,1,,Verbe,1,quitter,0,,0,,0,,non,non,0,,medʉmba-francais
lɔ̀,lɔ̀,,,,simple,1,,Nom,1,vol,0,,0,,0,,non,non,0,,medʉmba-francais
lǒŋ,lǒŋ,,,,simple,1,,Verbe,1,gagner,0,,0,,0,,non,non,0,,medʉmba-francais
ma',ma',,,,simple,1,,Nom,1,mère,0,,0,,0,,non,non,0,,medʉmba-francais
ma'a,ma'a,,,,simple,1,,Verbe,1,lancer,0,,0,,0,,non,non,0,,medʉmba-francais
mafən,mafən,,,,simple,1,,Nom,1,reine,0,,0,,0,,non,non,0,,medʉmba-francais
mangàmbə,mangàmbə,,,,simple,1,,Nom,1,cérémonie traditionnelle,0,,0,,0,,non,non,0,,medʉmba-francais
mângəlò',mângəlò',,,,simple,1,,Nom,1,mangue,0,,0,,0,,non,non,0,,medʉmba-francais
manze,manze,,,,simple,1,,Nom,1,route,0,,1,me lo' fàn manze <--> J'avais perdu ta route.,0,,non,non,0,,medʉmba-francais
mánzə̀,mánzə̀,,,,simple,1,,Nom,1,route,0,,0,,0,,non,non,0,,medʉmba-francais
mbʉ,mbʉ,,,,simple,1,,Nom,1,le chien,0,,0,,0,,non,non,0,,medʉmba-francais
mbà,mbà,,,,simple,1,,Verbe,1,mûrir,0,,0,,0,,non,non,0,,medʉmba-francais
mbâ,mbâ,,,,simple,1,,Adjectif,1,rouge,0,,0,,0,,non,non,0,,medʉmba-francais
mbam,mbam,,,,simple,1,,Verbe,1,accepter,0,,0,,0,,non,non,0,,medʉmba-francais
mbaŋ,mbaŋ,,,,simple,1,,Adverbe,1,à côté de,0,,0,,0,,non,non,0,,medʉmba-francais
mbaŋgala,mbaŋgala,,,,simple,1,,Nom,1,mille-pattes,0,,0,,0,,non,non,0,,medʉmba-francais
mbǎntsí,mbǎntsí,,,,simple,1,,Nom,1,noix de palme,0,,0,,0,,non,non,0,,medʉmba-francais
mbə̀,mbə̀,,,,simple,1,,Verbe,1,vivre,0,,0,,0,,non,non,0,,medʉmba-francais
ɛ̀ɲàgɛl,ɲàgɛl,ɛ̀,,,simple,1,,Verbe,1,gratter,0,,1,ɲí ɲàgɛl dó <--> il gratte le nez,0,,non,non,0,,ŋk̀ùnàbémbé-français
ʧák'láká,ʧák'láká,,,DAALIEN,simple,1,,Verbe,1,coupez,0,,1,ʧák'láká ɓìká <--> coupez les herbes,0,,non,non,1,impératif présent : ʧák'láká,ŋk̀ùnàbémbé-français
àlúlāā,àlúlāā,,,,simple,1,,Nom,1,l' aiguille,0,,1,mɛ̀ lár kár nɛ̀ àlúlāā <--> je couds l'habit avec l'aiguille,0,,non,non,0,,ŋk̀ùnàbémbé-français
àɲɔ̀s,àɲɔ̀s,,,,simple,1,,Nom,1,l' oignon,0,,1,gímɛ́ àɲɔ̀s <--> donne moi l' oignon,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɓá,ɓá,,,,simple,1,,Adjectif,1,deux,0,,0,,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɓé,ɓé,,,,simple,1,,Nom,1,la marmite,0,,1,gʉ̀ə̀yɛ̀ ɓé <--> lave la marmite,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɓɛ́da,ɓɛ́,,da,,simple,1,,Préposition,0,,0,,3,mɛ̀ mû tɔ́ ɓɛ́ piéɓ <--> je vais déjà au champ@@@ɲɛ̀ ɛ́ ɓɛ́ ndzɔ́ɔ́ <--> il est à la maison@@@ɓés ɓɛ́ ɓɛ̀dâ calice <--> nous sommes chez calice,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɛ̀bèèh,bèèh,ɛ̀,,,simple,1,,Verbe,1,voir,0,,0,,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɓɛ̀kó,ɓɛ̀kó,,,lieu,simple,1,,Adverbe,1,en haut,0,,1,wɔ́ sá yé ɓɛ̀kó <--> que fais-tu en haut,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɛ̀ɓél,ɓél,ɛ̀,,,simple,1,,Verbe,1,le sein,0,,1,ɛ̀ ɓél lám lí dùmà <--> mon sein est tombé,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɓér,ɓér,,,,simple,1,,Nom,2,la poitrine@@@l' abdomen: région du corps contenant essentiellement láppareil digestif,0,,1,ɛ̀ kpwaa ɓér wám <--> ma poitrine me fait mal,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɓɛ̀sí,ɓɛ̀sí,,,lieu,simple,1,,Adverbe,1,en bas,0,,1,ɗzɔ́ká: ɓɛ̀sí <--> regarde en bas,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɓí,ɓí,,,,simple,1,,Nom,1,la pluie,0,,1,ɓí ɲɛ̀ í nœ̄̄ <--> la pluie tombe,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɓíɓìɓwàs,ɓíɓìɓwàs,,,,simple,1,,Nom,1,le monde,0,,1,ɓíɓìɓwàs yɛ̀ rú kwɔ̀là <--> le monde est compliqué,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɓìɛ̄m,ɓìɛ̄m,,,,simple,1,,Adverbe,1,tout,0,,1,gí mɛ́ ɓìsá ɓìàm ɓìɛ̀s <--> donne moi toutes mes choses,0,,non,non,0,,ŋk̀ùnàbémbé-français
ɓíɛ̄s,ɓíɛ̄s,,,indefini,simple,1,,Adjectif,1,tous les,0,,1,ɓìkwār ɓí́ɛ̄s ɓí wiyè <--> tous les plantains sont en maturité,0,,non,non,0,,ŋk̀ùnàbémbé-français
bìgìém,bìgìém,,,,simple,1,,Nom,1,les langues,0,,1,ɛ̀ gìààh ɓígíém ɓí ɓór <--> longues sont les langues des Hommes,0,,non,non,0,,ŋk̀ùnàbémbé-français
